idx,000 degree.png,030 degree.png,060 degree.png,090 degree.png,120 degree.png,150 degree.png,180 degree.png
-20,0.0501515508804538,0.05764239545579889,0.04167163929006153,0.09843047464622155,0.03464432055581206,0.0417295514669217,0.0501515508804538
-19,0.0342248414114581,0.03968540512727227,0.05477431961483132,0.019178267481872624,0.02303037833379584,0.04182820102668797,0.0342248414114581
-18,0.08611398036721297,0.07157221680152175,0.06644330322591027,0.07724804495862235,0.04686427062764867,0.04396043749540327,0.08611398036721297
-17,0.03285488411398176,0.02995620664649409,0.08730681931947577,0.05024509049303972,0.009844463571650572,0.0834683557987187,0.03285488411398176
-16,0.14528172954537977,0.06978835268653233,0.08429339632172246,0.13006776705576636,0.11401746952488472,0.08386157927746624,0.14528172954537977
-15,0.042992970247426016,0.015512329380901517,0.07903055009192485,0.055255543942541015,0.01617842621070611,0.07726860047528798,0.042992970247426016
-14,0.10764449135517487,0.05547487824850569,0.03591202342413849,0.0904043526991875,0.05641162563258533,0.04308165460053361,0.10764449135517487
-13,0.067255788147145,0.12487254095203543,0.038065400906165565,0.04211269070927675,0.06609770624518603,0.017829967290354194,0.067255788147145
-12,0.23941410943902033,0.19604292118592673,0.12194121565904435,0.2128251345701922,0.2160014204663373,0.0903071914612798,0.23941410943902033
-11,0.09183538907619146,0.015163504030752202,0.04975162176204981,0.07999045903106057,0.0056949790937268945,0.07090705052946224,0.09183538907619146
-10,0.27167367341602827,0.35892955722672515,0.32357332215069645,0.2985571802987499,0.3353155365894497,0.31411198741112417,0.27167367341602827
-9,0.05847884578259034,0.1283957944375633,0.19913291309163805,0.05611070499073918,0.12809647636836805,0.21707134380905116,0.05847884578259034
-8,0.944829429919977,0.9485007224362736,0.9302571469042781,0.9569960317839796,0.928436118990592,0.9690706310367149,0.944829429919977
-7,0.17620748554754842,0.05871998263394389,0.18992491131079206,0.1525081298147386,0.08063814540736512,0.1871143073449378,0.17620748554754842
-6,2.1569172487723995,2.327414918748008,2.396306341593043,2.166942279453757,2.313854027600002,2.395707557540714,2.1569172487723995
-5,0.028853027865798003,0.22186062845897525,0.0635657969898227,0.022234729259355296,0.2409511494033998,0.04651475340663972,0.028853027865798003
-4,6.5682298601000975,6.890273979470897,6.839227306863028,6.576246045853396,6.868221802828271,6.84972164597193,6.5682298601000975
-3,0.17141943517181768,0.29470196703794793,0.25185414112684273,0.18881866704571137,0.33550623269775803,0.29286970205788465,0.17141943517181768
-2,21.049472434213016,22.27604517732506,21.849613134367228,21.0210037369672,22.21309377791726,21.85769792811113,21.049472434213016
-1,0.11133785946203713,0.26652347219133005,0.3306612651615779,0.10985868970099327,0.3064558435916555,0.3001429057369887,0.11133785946203713
0,269.3416004333857,268.47021609844,268.6998986890009,269.3359018160214,268.4500658507664,268.73063860220503,269.3416004333857
1,0.24790706594801099,0.7983036675043726,0.7634143366498362,0.7298500414770277,0.6424998539386926,1.5844020403343435,0.24790706594801099
2,87.58418813540416,85.8823559225335,86.27352544965213,87.58636134140725,85.87342891209916,86.29604182578905,87.58418813540416
3,0.061878320453707905,0.23376192564094955,0.11642853615222257,0.050613694943189035,0.19894108458546889,0.07664888889210883,0.061878320453707905
4,3.756491804748803,4.137744807777389,3.9134844899987606,3.778201298981227,4.104278763659193,3.926297656962714,3.756491804748803
5,0.20190662332223633,0.06836556209992115,0.20071904676738078,0.22014448588392294,0.08763768451204997,0.19999217115840864,0.20190662332223633
6,1.3366472142047663,1.363912307879902,1.3782159117552941,1.3451614862771184,1.3286118485162204,1.3402641346538071,1.3366472142047663
7,0.1000794002618261,0.23897823897459627,0.1914920931085642,0.10589158096875811,0.22752630606875607,0.2160239582180908,0.1000794002618261
8,0.3264019824358859,0.49723518593115645,0.5464877533228406,0.30944258167792216,0.5088547707113278,0.566580235107966,0.3264019824358859
9,0.10821483046050305,0.04303648643142013,0.08426166923709529,0.13713926731971557,0.03383112605794877,0.043770511074786855,0.10821483046050305
10,0.1287202225039792,0.1938542596011159,0.25212266420688995,0.13878198140091721,0.20074659571504616,0.23629794896274017,0.1287202225039792
11,0.0629795647771096,0.08231157859575314,0.055276180633384166,0.07497294695869867,0.14029124948860247,0.035815635606526106,0.0629795647771096
12,0.023864817018132905,0.05150226704922582,0.1681404113774321,0.06454990644776071,0.05206993399921104,0.15968427951819633,0.023864817018132905
13,0.043156499270826855,0.03917300793608875,0.03519450616958714,0.06467435964036376,0.07802367541432517,0.08156723879016413,0.043156499270826855
14,0.0460937562531997,0.0829370530456053,0.020962470673665624,0.033271998213430624,0.05185141016016109,0.025030577724764774,0.0460937562531997
15,0.02714063510256427,0.023331579408443995,0.08942594689043955,0.013846048685006078,0.06568731168354575,0.08885386676051188,0.02714063510256427
16,0.05950345269453982,0.07279394711353379,0.06789231665036863,0.05112123733035299,0.030448958315885444,0.05698754461618687,0.05950345269453982
17,0.04363977766982103,0.027345857783815503,0.02933616037623764,0.04163601934771457,0.04721421011565425,0.039922786585952004,0.04363977766982103
18,0.07919276884599684,0.01255358079682025,0.023179665317466357,0.07713729286454254,0.011515027607737219,0.060565126404609045,0.07919276884599684
19,0.020540458014000732,0.035749675056100765,0.060338606789890684,0.023144175182273113,0.03848202512727249,0.04712773448525433,0.020540458014000732
20,0.0372357003164567,0.09686522667728453,0.07471586763598169,0.020235749040150366,0.1063657806925741,0.11164362796168799,0.0372357003164567
